category,total,pct_total,train,val,test,train_pct,val_pct,test_pct,split_deviation
Kehamilan & Perinatal,19349,14.9,15472,1911,1966,14.9,14.72,15.14,0.42
Mental & Perilaku,14628,11.27,11643,1515,1470,11.21,11.67,11.32,0.46
Cedera & Darurat,12566,9.68,10017,1292,1257,9.64,9.95,9.68,0.31
Infeksi & Parasit,9844,7.58,7919,941,984,7.62,7.25,7.58,0.38
Neoplasma (Kanker),9111,7.02,7260,927,924,6.99,7.14,7.12,0.15
Pencernaan,8020,6.18,6435,776,809,6.2,5.98,6.23,0.25
Genitourinary,7888,6.08,6287,824,777,6.05,6.35,5.98,0.36
Kulit,7323,5.64,5865,755,703,5.65,5.82,5.41,0.4
Neurologi,6239,4.81,4997,601,641,4.81,4.63,4.94,0.31
Darah & Imunitas,5956,4.59,4805,554,597,4.63,4.27,4.6,0.36
Kardiovaskular,5741,4.42,4582,580,579,4.41,4.47,4.46,0.06
Endokrin & Metabolik,5652,4.35,4561,566,525,4.39,4.36,4.04,0.35
Kelainan Perkembangan,5443,4.19,4336,553,554,4.17,4.26,4.27,0.09
Pernapasan,3120,2.4,2500,305,315,2.41,2.35,2.43,0.08
Mata,2912,2.24,2337,286,289,2.25,2.2,2.23,0.05
Muskuloskeletal,2735,2.11,2208,257,270,2.13,1.98,2.08,0.15
Lain-lain,1787,1.38,1434,190,163,1.38,1.46,1.26,0.21
Gejala & Tanda Klinis,778,0.6,610,79,89,0.59,0.61,0.69,0.1
Telinga,730,0.56,589,70,71,0.57,0.54,0.55,0.03
